KKC PORTAL v2.1.9 ACTIVE ON PORT 5021
[Texture] Initial index build complete.
GET /viewer.html?mode=showroom 200 24517 - 5.899 ms
GET /css/viewer.css?v=1873 200 37603 - 3.916 ms
GET /js/viewer.js?v=1874 200 49157 - 3.982 ms
GET /js/materialManager.js 200 44251 - 3.221 ms
GET /js/uiManager.js 200 13723 - 6.758 ms
GET /js/showroomManager.js 200 25323 - 6.143 ms
GET /js/engine.js 200 7653 - 6.346 ms
GET /js/modelLoader.js 200 11252 - 8.168 ms
GET /api/showroom/categories 200 1852 - 32.478 ms
GET /viewer.html?mode=showroom 200 24517 - 1.567 ms
GET /css/viewer.css?v=1873 200 37603 - 2.314 ms
GET /js/viewer.js?v=1874 200 49157 - 2.269 ms
GET /js/uiManager.js 200 13723 - 3.101 ms
GET /js/materialManager.js 200 44251 - 3.375 ms
GET /js/showroomManager.js 200 25323 - 2.950 ms
GET /js/modelLoader.js 200 11252 - 4.069 ms
GET /js/engine.js 200 7653 - 4.847 ms
GET /api/showroom/categories 200 1852 - 1.809 ms
GET /viewer.html?mode=showroom 200 24517 - 1.051 ms
GET /css/viewer.css?v=1873 200 37603 - 2.723 ms
GET /js/viewer.js?v=1874 200 49157 - 2.862 ms
GET /js/uiManager.js 200 13723 - 1.020 ms
GET /js/materialManager.js 200 44251 - 3.786 ms
GET /js/showroomManager.js 200 25323 - 5.414 ms
GET /js/engine.js 200 7653 - 4.205 ms
GET /js/modelLoader.js 200 11252 - 3.543 ms
GET /api/showroom/categories 200 1852 - 6.360 ms
GET /viewer.html?mode=showroom 200 24517 - 1.025 ms
GET /css/viewer.css?v=1873 200 37603 - 2.236 ms
GET /js/viewer.js?v=1874 200 49157 - 2.040 ms
GET /js/uiManager.js 200 13723 - 0.662 ms
GET /js/materialManager.js 200 44251 - 2.230 ms
GET /js/showroomManager.js 200 25323 - 2.521 ms
GET /js/engine.js 200 7653 - 2.802 ms
GET /js/modelLoader.js 200 11252 - 1.865 ms
GET /api/showroom/categories 200 1852 - 1.131 ms
GET /viewer.html?mode=showroom 200 24517 - 1.278 ms
GET /css/viewer.css?v=1873 200 37603 - 2.566 ms
GET /js/viewer.js?v=1874 200 49157 - 4.111 ms
GET /js/uiManager.js 200 13723 - 4.571 ms
GET /js/materialManager.js 200 44251 - 4.330 ms
GET /js/showroomManager.js 200 25323 - 4.254 ms
GET /js/engine.js 200 7653 - 2.029 ms
GET /js/modelLoader.js 200 11252 - 2.029 ms
GET /api/showroom/categories 200 1852 - 2.457 ms
GET / 200 4544 - 1.191 ms
GET /css/index.css?v=301 200 5201 - 2.486 ms
GET /js/index.js?v=301 200 4908 - 2.544 ms
GET /images/kkc_logo.jpg 200 1125941 - 2.575 ms
GET /service-worker.js 200 270 - 0.719 ms
GET /viewer.html?mode=showroom 200 24517 - 0.621 ms
GET /css/viewer.css?v=1873 200 37603 - 2.860 ms
GET /js/viewer.js?v=1874 200 49157 - 3.587 ms
GET /js/uiManager.js 200 13723 - 10.445 ms
GET /js/materialManager.js 200 44251 - 9.665 ms
GET /js/showroomManager.js 200 25323 - 7.863 ms
GET /js/engine.js 200 7653 - 7.817 ms
GET /js/modelLoader.js 200 11252 - 7.878 ms
GET /api/showroom/categories 200 1852 - 4.563 ms
GET /viewer.html?mode=showroom 200 24517 - 2.434 ms
GET /css/viewer.css?v=1873 200 37603 - 1.889 ms
GET /js/viewer.js?v=1874 200 49157 - 1.754 ms
GET /js/uiManager.js 200 13723 - 1.270 ms
GET /js/materialManager.js 200 44251 - 3.606 ms
GET /js/showroomManager.js 200 25323 - 2.890 ms
GET /js/engine.js 200 7653 - 2.895 ms
